	time	open	high	low	close	tick_volume	spread	real_volume
34	2020-12-31	1.22963	1.23093	1.22127	1.22155	58559	0	0
35	2021-01-04	1.22395	1.23098	1.2227999999999999	1.22473	85620	0	0
36	2021-01-05	1.22466	1.23056	1.22432	1.22965	75380	0	0
37	2021-01-06	1.22968	1.23494	1.22657	1.23252	118259	0	0
38	2021-01-07	1.2325599999999999	1.23441	1.22452	1.2271	84749	0	0
39	2021-01-08	1.22713	1.22845	1.21932	1.22218	100138	0	0
40	2021-01-11	1.22116	1.22285	1.21323	1.21497	79581	0	0
41	2021-01-12	1.21498	1.2209699999999999	1.21372	1.22062	70628	0	0
42	2021-01-13	1.22064	1.22229	1.21399	1.21568	70247	0	0
43	2021-01-14	1.21568	1.21784	1.21112	1.2154	82002	0	0
44	2021-01-15	1.21537	1.21625	1.2075	1.20766	71372	0	0
45	2021-01-18	1.20813	1.20867	1.20536	1.20757	51965	0	0
46	2021-01-19	1.20768	1.21449	1.20739	1.21284	59302	0	0
47	2021-01-20	1.21281	1.21582	1.20767	1.21046	63393	0	0
48	2021-01-21	1.2104300000000001	1.21732	1.21022	1.2164	65018	0	0
49	2021-01-22	1.21586	1.21894	1.21515	1.21704	57094	0	0
50	2021-01-25	1.21704	1.21833	1.2116	1.21413	54371	0	0
51	2021-01-26	1.21371	1.2176	1.21078	1.2159200000000001	51913	0	0
52	2021-01-27	1.21598	1.21696	1.20586	1.21096	74814	0	0
53	2021-01-28	1.21086	1.21421	1.20805	1.2121	76561	0	0
54	2021-01-29	1.21209	1.21558	1.20944	1.21353	75639	0	0
55	2021-02-01	1.21301	1.21364	1.20562	1.20594	63743	0	0
56	2021-02-02	1.20594	1.20876	1.20117	1.20428	58989	0	0
57	2021-02-03	1.20423	1.205	1.20042	1.20351	49377	0	0
58	2021-02-04	1.20349	1.20428	1.19574	1.1962	51807	0	0
59	2021-02-05	1.19618	1.20498	1.19522	1.20492	67841	0	0
60	2021-02-08	1.20426	1.20661	1.20197	1.20493	59895	0	0
61	2021-02-09	1.20493	1.21221	1.20472	1.21174	64758	0	0
62	2021-02-10	1.21173	1.2144	1.21088	1.21172	48674	0	0
63	2021-02-11	1.21172	1.21493	1.21135	1.21303	46803	0	0
64	2021-02-12	1.21303	1.21349	1.20815	1.21189	55276	1	0
65	2021-02-15	1.2124	1.21452	1.21167	1.21274	39844	0	0
66	2021-02-16	1.21271	1.21694	1.20949	1.2105299999999999	63015	1	0
67	2021-02-17	1.21047	1.21089	1.20234	1.20374	69997	1	0
68	2021-02-18	1.20351	1.20944	1.2035	1.20908	60510	1	0
69	2021-02-19	1.20908	1.2144300000000001	1.20823	1.21174	59796	1	0
70	2021-02-22	1.21131	1.21694	1.20912	1.21554	66651	1	0
71	2021-02-23	1.21564	1.21802	1.21353	1.21493	64676	1	0
72	2021-02-24	1.21493	1.21745	1.21092	1.21665	83207	1	0
73	2021-02-25	1.21637	1.22432	1.2156	1.21743	106775	1	0
74	2021-02-26	1.2173	1.21828	1.20622	1.20727	129271	1	0
75	2021-03-01	1.20688	1.21012	1.20278	1.20488	83306	1	0
76	2021-03-02	1.20488	1.20944	1.19915	1.20893	80054	1	0
77	2021-03-03	1.20898	1.21132	1.20429	1.20627	71671	0	0
78	2021-03-04	1.20627	1.20662	1.19616	1.1969400000000001	93524	1	0
79	2021-03-05	1.1968	1.19767	1.1892800000000001	1.1912	96968	1	0
80	2021-03-08	1.19166	1.19321	1.18442	1.1846	100880	1	0
81	2021-03-09	1.18456	1.19157	1.18356	1.19001	94052	1	0
82	2021-03-10	1.19002	1.19298	1.18687	1.19284	87767	1	0
83	2021-03-11	1.19283	1.199	1.19158	1.19851	86008	1	0
84	2021-03-12	1.1985000000000001	1.19886	1.19098	1.19519	83666	1	0
85	2021-03-15	1.19473	1.19674	1.1911100000000001	1.19271	67450	1	0
86	2021-03-16	1.19271	1.19517	1.18823	1.19009	67321	1	0
87	2021-03-17	1.19009	1.19853	1.18863	1.19802	71533	1	0
88	2021-03-18	1.19802	1.1989	1.19062	1.19135	85787	1	0
89	2021-03-19	1.19134	1.19372	1.18738	1.19044	73391	1	0
